codigo,Rural,Ciudades,Cobertura media neta,SABER 11 (LyM),Cobertura Transición,Cobertura salud,Mortalidad Infantil,Cobertura eléctrica rural,Cobertura internet,Cobertura Acueducto,Cobertura Alcantarillado,Hurtos x 10000 hab,Homicidios x 10000 hab,Violencia Intrafamiliar x 10000 hab,Densidad poblacional,ACSN,AGC ahora EGC,Disidencias de las FARC,ELN,EPL,Otras organizaciones,DUQUE_win
5001,0,1,0.53183,0.59102,0.75468,1.0,0.07199,1.0,0.40388,0.9726,0.9529,0.67097,0.07912,0.27928,0.40414,0.0,0.0,0.0,0.0,0.0,0.0,1
5002,1,0,0.35194,0.52328,0.37649,0.78285,0.04245,0.95757,0.09356,0.1571,0.1571,0.17399,0.08324,0.04972,0.00245,0.0,0.0,0.0,0.0,0.0,0.0,1
5004,1,0,0.54241,0.38724,0.75728,0.86068,0.17574,0.83625,0.06197,0.3904,0.3904,0.03493,0.0,0.0,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,1
5021,1,0,0.31428,0.56109,0.91042,1.0,0.17698,0.92925,0.16148,0.3936,0.3272,0.20482,0.0,0.10215,0.00145,0.0,0.0,0.0,0.0,0.0,0.0,1
5030,0,0,0.33042,0.46921,0.34836,0.76248,0.10332,0.99019,0.17138,0.0,0.0,0.15282,0.05238,0.07679,0.02206,0.0,0.0,0.0,0.0,0.0,0.0,1
5031,1,0,0.30595,0.39722,0.46823,0.94835,0.08652,0.84389,0.117,0.4179,0.3512,0.24709,0.11208,0.06466,0.00114,0.0,0.0,0.0,0.0,0.0,0.0,1
5034,0,0,0.3318,0.48035,0.46505,0.77575,0.06977,0.98402,0.11396,0.1594,0.1111,0.12302,0.28925,0.18992,0.00647,0.0,0.0,0.0,0.0,0.0,0.0,1
5036,0,0,0.3414,0.48138,0.27849,0.35831,0.14636,0.98227,0.04318,0.3837,0.3837,0.11776,0.13522,0.2019,0.00652,0.0,0.0,0.0,0.0,0.0,0.0,1
5038,1,0,0.60179,0.2684,0.40925,0.87009,0.17326,0.97255,0.05312,0.5158,0.1049,0.09353,0.11456,0.10885,0.00183,0.0,0.0,0.0,0.0,0.0,0.0,1
5040,1,0,0.31745,0.29664,0.57369,0.87283,0.02976,0.7752,0.09144,0.36,0.2117,0.13196,0.46347,0.08227,0.00074,0.0,0.0,0.0,0.0,0.0,0.0,1
5042,1,0,0.49929,0.42041,0.46997,1.0,0.00521,0.97388,0.19131,0.666,0.5492,0.26089,0.13874,0.09588,0.00311,0.0,0.0,0.0,0.0,0.0,0.0,1
5044,1,0,0.19087,0.4422,0.46255,0.86764,0.15149,0.93347,0.03615,0.4002,0.2659,0.09962,0.16639,0.09034,0.00187,0.0,0.0,0.0,0.0,0.0,0.0,1
5045,0,1,0.23817,0.44522,0.26183,0.66175,0.10849,0.87711,0.1533,0.4646,0.4566,0.18174,0.08753,0.06468,0.01863,0.0,1.0,0.0,0.0,0.0,0.0,0
5051,0,0,0.29918,0.35265,0.31825,0.65955,0.14992,0.97674,0.04322,0.5836,0.2314,0.03647,0.01456,0.02175,0.00354,0.0,1.0,0.0,0.0,0.0,0.0,1
5055,1,0,0.26491,0.37789,0.49951,0.84451,0.17918,0.86013,0.06151,0.2645,0.2645,0.0663,0.07613,0.031,0.00214,0.0,0.0,0.0,0.0,0.0,0.0,1
5059,1,0,0.32703,0.59463,0.35785,1.0,0.20247,0.98463,0.0475,0.6918,0.2735,0.05235,0.32058,0.04351,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,1
5079,0,1,0.37407,0.48933,0.37278,0.74671,0.04706,1.0,0.16946,0.9992,0.2867,0.25751,0.12672,0.19986,0.01526,0.0,0.0,0.0,0.0,0.0,0.0,1
5086,1,0,0.37824,0.48333,0.42964,0.50252,0.5898,0.96491,0.07724,0.4731,0.1956,0.0596,0.0,0.01239,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,1
5088,0,1,0.36844,0.55787,0.52799,0.79139,0.04138,1.0,0.37731,0.9989,0.9989,0.35298,0.05245,0.19043,0.1916,0.0,0.0,0.0,0.0,0.0,0.0,1
5091,0,0,0.27405,0.47668,0.43166,0.79613,0.20739,0.9882,0.09918,0.7296,0.4865,0.07669,0.49314,0.3825,0.00346,0.0,0.0,0.0,0.0,0.0,0.0,1
5093,0,0,0.39998,0.36038,0.55793,0.84468,0.08355,0.96866,0.06776,0.1683,0.1903,0.07379,0.16053,0.11621,0.00436,0.0,0.0,0.0,0.0,0.0,0.0,1
5101,0,0,0.29837,0.51782,0.48387,1.0,0.01488,0.98974,0.13408,0.7082,0.6605,0.10314,0.49739,0.09966,0.00602,0.0,0.0,0.0,0.0,0.0,0.0,1
5107,1,0,0.18625,0.34072,0.4867,0.75597,0.0953,0.9576,0.07083,0.3148,0.3148,0.02381,0.29164,0.05938,0.00135,0.0,0.0,0.0,0.0,0.0,0.0,1
5113,1,0,0.3768,0.38544,0.58973,1.0,0.0953,0.9461,0.11057,0.9922,0.9482,0.06359,0.38944,0.02643,0.00113,0.0,0.0,0.0,0.0,0.0,0.0,1
5120,1,0,0.14313,0.36003,0.34323,0.53849,0.34233,0.76231,0.03597,0.3836,0.4845,0.02686,0.50111,0.00837,0.00119,0.0,0.0,0.0,0.0,0.0,0.0,1
5125,1,0,0.27828,0.37399,0.48617,0.83847,0.07639,0.97157,0.05284,0.6987,0.1838,0.0246,0.07532,0.06134,0.00232,0.0,0.0,0.0,0.0,0.0,0.0,1
5129,0,1,0.45041,0.60489,0.56853,0.97942,0.04467,0.99906,0.36854,1.0,0.9199,0.23508,0.11779,0.17054,0.0325,0.0,0.0,0.0,0.0,0.0,0.0,1
5134,1,0,0.16102,0.38381,0.58704,0.72385,0.16777,0.94913,0.06117,0.5736,0.5111,0.04633,0.07093,0.07702,0.00285,0.0,0.0,0.0,0.0,0.0,0.0,1
5138,1,0,0.33481,0.34919,0.33339,0.77746,0.05144,0.94839,0.07568,0.7165,0.4887,0.04936,0.05667,0.00513,0.00268,0.0,1.0,1.0,1.0,0.0,0.0,1
5142,1,0,0.25441,0.42244,0.45005,0.85963,0.13495,0.97558,0.10212,0.9116,0.5474,0.16757,0.06997,0.05698,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,1
